date,sessions,conversions,conversion_rate,revenue,avg_customer_acquisition_cost,feature_launch_period
2024-10-01,155,18,0.1161,8846.92,23.43,0
2024-10-02,122,10,0.082,7831.26,24.69,0
2024-10-03,121,10,0.0826,6778.82,22.01,0
2024-10-04,161,13,0.0807,8659.8,23.83,0
2024-10-05,163,14,0.0859,9942.9,24.32,0
2024-10-06,171,12,0.0702,8122.65,21.86,0
2024-10-07,163,6,0.0368,4440.64,25.06,0
2024-10-08,135,9,0.0667,3160.35,26.37,0
2024-10-09,163,11,0.0675,10904.19,25.16,0
2024-10-10,125,8,0.064,4276.24,22.03,0
2024-10-11,133,11,0.0827,5167,21.94,0
2024-10-12,127,10,0.0787,7018.49,20.78,0
2024-10-13,157,11,0.0701,8124.94,22.33,0
2024-10-14,159,9,0.0566,7340.93,20.71,0
2024-10-15,145,20,0.1379,18255.68,22.73,0
2024-10-16,125,13,0.104,7625.48,22.67,0
2024-10-17,157,12,0.0764,11435.76,22.3,0
2024-10-18,144,12,0.0833,8206.54,21.84,0
2024-10-19,120,10,0.0833,6828.22,24.09,0
2024-10-20,174,7,0.0402,5644.28,21.44,0
2024-10-21,146,10,0.0685,4934.55,22.26,0
2024-10-22,154,11,0.0714,6008.96,21.84,0
2024-10-23,158,12,0.0759,5042.21,22.13,0
2024-10-24,135,7,0.0519,2733.01,22.34,0
2024-10-25,137,12,0.0876,11175.39,21.77,0
2024-10-26,142,9,0.0634,4483.95,22.06,0
2024-10-27,150,9,0.06,6724.99,23.2,0
2024-10-28,141,10,0.0709,10538.32,22,0
2024-10-29,125,9,0.072,5619.88,22.97,0
2024-10-30,125,12,0.096,9598.34,24.68,0
2024-10-31,143,11,0.0769,7902.83,23.55,0
2024-11-01,127,5,0.0394,2086.11,21.32,0
2024-11-02,135,10,0.0741,5100.96,23.37,0
2024-11-03,157,16,0.1019,9525.91,21.44,0
2024-11-04,126,13,0.1032,12348.17,26.11,0
2024-11-05,169,17,0.1006,13210.47,23.82,0
2024-11-06,172,14,0.0814,12798.42,21.4,0
2024-11-07,144,6,0.0417,4958.46,21.57,0
2024-11-08,137,16,0.1168,12434.38,21.83,0
2024-11-09,170,19,0.1118,14088.15,22.26,0
2024-11-10,147,14,0.0952,8576.68,20.78,0
2024-11-11,168,12,0.0714,6110.97,22.15,0
2024-11-12,148,17,0.1149,10603.17,22.74,0
2024-11-13,124,14,0.1129,10736.89,20.38,0
2024-11-14,128,10,0.0781,7365.41,23.36,0
2024-11-15,120,14,0.1167,9607.86,21.35,1
2024-11-16,150,12,0.08,9187.14,22.66,1
2024-11-17,173,18,0.104,10543.28,21.06,1
2024-11-18,158,10,0.0633,8279.3,20.77,1
2024-11-19,174,13,0.0747,8527.91,23.96,1
2024-11-20,153,14,0.0915,7174.51,24.48,1
2024-11-21,160,16,0.1,9585.32,22.47,1
2024-11-22,154,15,0.0974,8295.54,21.39,1
2024-11-23,128,9,0.0703,4093.48,22.67,1
2024-11-24,148,17,0.1149,13219.29,21.21,1
2024-11-25,163,12,0.0736,8017.68,23.27,1
2024-11-26,135,16,0.1185,11415.87,23.47,1
2024-11-27,158,14,0.0886,7704.07,22.91,1
2024-11-28,171,25,0.1462,19475.12,23.77,1
2024-11-29,173,22,0.1272,18242.42,22.74,1
2024-11-30,142,7,0.0493,8776.58,24.15,1
2024-12-01,170,10,0.0588,8018.17,22.99,1
2024-12-02,170,12,0.0706,10049.28,21.2,1
2024-12-03,143,22,0.1538,18916.9,24.3,1
2024-12-04,130,11,0.0846,9323.44,22.45,1
2024-12-05,155,22,0.1419,20053.97,23.19,1
2024-12-06,164,12,0.0732,9079.36,21.38,1
2024-12-07,125,18,0.144,15349.9,22.07,1
2024-12-08,139,12,0.0863,7435.5,21.85,1
2024-12-09,135,17,0.1259,4129.93,21.42,1
2024-12-10,176,21,0.1193,12435.06,23.26,1
2024-12-11,165,19,0.1152,11725.47,22.36,1
2024-12-12,170,28,0.1647,20530.71,21.6,1
2024-12-13,120,8,0.0667,3754.37,21.14,1
2024-12-14,167,15,0.0898,9427.6,23.85,1
2024-12-15,137,15,0.1095,13195.3,22.35,1
2024-12-16,153,16,0.1046,8328.14,23.29,1
2024-12-17,140,15,0.1071,11930.13,22.03,1
2024-12-18,178,14,0.0787,12230.52,22.58,1
2024-12-19,145,20,0.1379,19138.86,23.89,1
2024-12-20,168,16,0.0952,8747.5,21.01,1
2024-12-21,151,10,0.0662,8669.97,22.39,1
2024-12-22,120,12,0.1,6053.67,23.89,1
2024-12-23,126,15,0.119,9191.66,23.96,1
2024-12-24,165,20,0.1212,15387.52,20.04,1
2024-12-25,137,12,0.0876,7916.35,22.05,1
2024-12-26,132,16,0.1212,11268.79,23.21,1
2024-12-27,153,13,0.085,10319.08,23,1
2024-12-28,125,13,0.104,5379.98,21.31,1
2024-12-29,174,16,0.092,13758.6,24.95,1
2024-12-30,163,13,0.0798,9553.89,23.74,1
