date,transaction_id,merchant_segment,business_unit,acquisition_channel,sessions,converted,revenue,customer_acquisition_cost,feature_launch_period
2024-10-01,TXN_000001,Standard,Europe,Referral,1,0,0,13.17,0
2024-10-01,TXN_000002,Standard,Latin America,Social Media,1,0,0,18.46,0
2024-10-01,TXN_000003,Premium,North America,Paid Search,1,0,0,69.79,0
2024-10-01,TXN_000004,Standard,Europe,Organic Search,1,0,0,14.77,0
2024-10-01,TXN_000005,Enterprise,Latin America,Organic Search,1,0,0,21.95,0
2024-10-01,TXN_000006,Startup,North America,Email,1,0,0,12.19,0
2024-10-01,TXN_000007,Small Business,Asia Pacific,Organic Search,1,0,0,14.04,0
2024-10-01,TXN_000008,Small Business,North America,Direct,1,0,0,6.51,0
2024-10-01,TXN_000009,Small Business,North America,Paid Search,1,0,0,53.03,0
2024-10-01,TXN_000010,Startup,Latin America,Organic Search,1,0,0,13.75,0
2024-10-01,TXN_000011,Enterprise,North America,Referral,1,0,0,11.5,0
2024-10-01,TXN_000012,Standard,Asia Pacific,Email,1,0,0,16.33,0
2024-10-01,TXN_000013,Enterprise,Asia Pacific,Paid Search,1,0,0,64.71,0
2024-10-01,TXN_000014,Startup,Asia Pacific,Paid Search,1,0,0,61.62,0
2024-10-01,TXN_000015,Small Business,North America,Email,1,0,0,16.58,0
2024-10-01,TXN_000016,Premium,Europe,Direct,1,0,0,3.12,0
2024-10-01,TXN_000017,Premium,Latin America,Referral,1,0,0,23.49,0
2024-10-01,TXN_000018,Premium,North America,Paid Search,1,0,0,71.92,0
2024-10-01,TXN_000019,Standard,Asia Pacific,Social Media,1,1,292.69,29.74,0
2024-10-01,TXN_000020,Startup,North America,Referral,1,0,0,9.19,0
2024-10-01,TXN_000021,Startup,Europe,Direct,1,0,0,3.28,0
2024-10-01,TXN_000022,Premium,Latin America,Paid Search,1,0,0,47.18,0
2024-10-01,TXN_000023,Small Business,Europe,Organic Search,1,0,0,28.93,0
2024-10-01,TXN_000024,Enterprise,Asia Pacific,Paid Search,1,0,0,32.52,0
2024-10-01,TXN_000025,Small Business,North America,Organic Search,1,0,0,28.79,0
2024-10-01,TXN_000026,Startup,Europe,Organic Search,1,0,0,24.52,0
2024-10-01,TXN_000027,Small Business,Latin America,Social Media,1,0,0,18.47,0
2024-10-01,TXN_000028,Enterprise,Asia Pacific,Social Media,1,0,0,16.99,0
2024-10-01,TXN_000029,Enterprise,North America,Paid Search,1,0,0,69.24,0
2024-10-01,TXN_000030,Small Business,Europe,Paid Search,1,0,0,47.06,0
2024-10-01,TXN_000031,Enterprise,Asia Pacific,Social Media,1,0,0,43.21,0
2024-10-01,TXN_000032,Premium,Europe,Direct,1,0,0,0.4,0
2024-10-01,TXN_000033,Standard,North America,Social Media,1,0,0,38.02,0
2024-10-01,TXN_000034,Small Business,Asia Pacific,Email,1,0,0,11.51,0
2024-10-01,TXN_000035,Premium,Europe,Social Media,1,0,0,27.1,0
2024-10-01,TXN_000036,Premium,Asia Pacific,Direct,1,0,0,5.98,0
2024-10-01,TXN_000037,Standard,North America,Paid Search,1,0,0,30.11,0
2024-10-01,TXN_000038,Premium,Asia Pacific,Direct,1,0,0,6.28,0
2024-10-01,TXN_000039,Enterprise,Asia Pacific,Organic Search,1,0,0,14.79,0
2024-10-01,TXN_000040,Premium,North America,Referral,1,0,0,9.09,0
2024-10-01,TXN_000041,Enterprise,Asia Pacific,Social Media,1,0,0,43.34,0
2024-10-01,TXN_000042,Premium,Asia Pacific,Referral,1,0,0,16.55,0
2024-10-01,TXN_000043,Standard,North America,Social Media,1,0,0,33.1,0
2024-10-01,TXN_000044,Enterprise,North America,Paid Search,1,1,1088.13,69.54,0
2024-10-01,TXN_000045,Standard,Latin America,Direct,1,0,0,5.67,0
2024-10-01,TXN_000046,Startup,Europe,Social Media,1,0,0,17.94,0
2024-10-01,TXN_000047,Small Business,Europe,Email,1,0,0,12,0
2024-10-01,TXN_000048,Small Business,Latin America,Referral,1,0,0,9.03,0
2024-10-01,TXN_000049,Enterprise,Asia Pacific,Organic Search,1,0,0,20.71,0
2024-10-01,TXN_000050,Standard,Europe,Email,1,0,0,11.98,0
2024-10-01,TXN_000051,Standard,North America,Social Media,1,0,0,22.03,0
2024-10-01,TXN_000052,Startup,Latin America,Paid Search,1,0,0,36.99,0
2024-10-01,TXN_000053,Startup,Latin America,Direct,1,0,0,4.53,0
2024-10-01,TXN_000054,Small Business,Europe,Organic Search,1,0,0,21.97,0
2024-10-01,TXN_000055,Premium,Europe,Paid Search,1,0,0,42.19,0
2024-10-01,TXN_000056,Standard,Europe,Email,1,0,0,10.24,0
2024-10-01,TXN_000057,Small Business,North America,Organic Search,1,0,0,20.45,0
2024-10-01,TXN_000058,Startup,Latin America,Referral,1,0,0,14.05,0
2024-10-01,TXN_000059,Small Business,North America,Direct,1,0,0,4.31,0
2024-10-01,TXN_000060,Startup,Europe,Paid Search,1,0,0,58.22,0
2024-10-01,TXN_000061,Premium,Europe,Email,1,0,0,10.61,0
2024-10-01,TXN_000062,Premium,Latin America,Social Media,1,0,0,27.78,0
2024-10-01,TXN_000063,Standard,Europe,Organic Search,1,0,0,20.24,0
2024-10-01,TXN_000064,Startup,Europe,Paid Search,1,0,0,39.83,0
2024-10-01,TXN_000065,Enterprise,Asia Pacific,Social Media,1,0,0,20.77,0
2024-10-01,TXN_000066,Standard,Europe,Referral,1,1,163.96,16.66,0
2024-10-01,TXN_000067,Premium,Asia Pacific,Referral,1,0,0,18.85,0
2024-10-01,TXN_000068,Enterprise,North America,Organic Search,1,0,0,15.18,0
2024-10-01,TXN_000069,Small Business,Asia Pacific,Email,1,0,0,12.29,0
2024-10-01,TXN_000070,Small Business,North America,Organic Search,1,0,0,15.25,0
2024-10-01,TXN_000071,Startup,Latin America,Social Media,1,0,0,40.54,0
2024-10-01,TXN_000072,Enterprise,North America,Referral,1,0,0,15.63,0
2024-10-01,TXN_000073,Small Business,North America,Organic Search,1,0,0,28.5,0
2024-10-01,TXN_000074,Standard,Latin America,Email,1,0,0,6.48,0
2024-10-01,TXN_000075,Small Business,Latin America,Organic Search,1,0,0,19.05,0
2024-10-01,TXN_000076,Enterprise,Europe,Direct,1,0,0,1.4,0
2024-10-01,TXN_000077,Standard,Europe,Social Media,1,0,0,37.18,0
2024-10-01,TXN_000078,Startup,North America,Social Media,1,0,0,43.98,0
2024-10-01,TXN_000079,Standard,Europe,Organic Search,1,0,0,20.56,0
2024-10-01,TXN_000080,Premium,Europe,Organic Search,1,0,0,12.19,0
2024-10-01,TXN_000081,Enterprise,Europe,Email,1,0,0,10.19,0
2024-10-01,TXN_000082,Startup,Europe,Direct,1,0,0,2.9,0
2024-10-01,TXN_000083,Small Business,Asia Pacific,Referral,1,0,0,19.01,0
2024-10-01,TXN_000084,Startup,North America,Email,1,0,0,6.24,0
2024-10-01,TXN_000085,Small Business,Latin America,Referral,1,0,0,8.92,0
2024-10-01,TXN_000086,Small Business,Asia Pacific,Referral,1,0,0,9.6,0
2024-10-01,TXN_000087,Premium,Europe,Email,1,0,0,19.93,0
2024-10-01,TXN_000088,Premium,Europe,Paid Search,1,0,0,33.8,0
2024-10-01,TXN_000089,Premium,Asia Pacific,Direct,1,0,0,3.99,0
2024-10-01,TXN_000090,Enterprise,North America,Paid Search,1,0,0,31.01,0
2024-10-01,TXN_000091,Enterprise,Asia Pacific,Social Media,1,0,0,30.8,0
2024-10-01,TXN_000092,Enterprise,Europe,Email,1,0,0,12.58,0
2024-10-01,TXN_000093,Startup,Europe,Social Media,1,0,0,26.74,0
2024-10-01,TXN_000094,Premium,Asia Pacific,Organic Search,1,0,0,12.1,0
2024-10-01,TXN_000095,Small Business,Asia Pacific,Email,1,0,0,14.66,0
2024-10-01,TXN_000096,Small Business,Asia Pacific,Paid Search,1,0,0,44.38,0
2024-10-01,TXN_000097,Enterprise,North America,Email,1,0,0,10.26,0
2024-10-01,TXN_000098,Standard,Europe,Direct,1,0,0,2.59,0
2024-10-01,TXN_000099,Standard,Asia Pacific,Referral,1,0,0,17.62,0
2024-10-01,TXN_000100,Standard,North America,Email,1,0,0,11.08,0
2024-10-01,TXN_000101,Startup,Asia Pacific,Organic Search,1,0,0,18.73,0
2024-10-01,TXN_000102,Enterprise,Latin America,Referral,1,0,0,13.94,0
2024-10-01,TXN_000103,Enterprise,Latin America,Email,1,1,1169.84,8.36,0
2024-10-01,TXN_000104,Premium,Europe,Direct,1,0,0,7.61,0
2024-10-01,TXN_000105,Standard,North America,Direct,1,0,0,5.77,0
2024-10-01,TXN_000106,Startup,Latin America,Referral,1,0,0,21.31,0
2024-10-01,TXN_000107,Enterprise,North America,Organic Search,1,0,0,13.53,0
2024-10-01,TXN_000108,Small Business,Europe,Direct,1,0,0,1.06,0
2024-10-01,TXN_000109,Standard,Europe,Social Media,1,1,77.52,44.68,0
2024-10-01,TXN_000110,Startup,North America,Direct,1,0,0,6.9,0
2024-10-01,TXN_000111,Startup,Latin America,Social Media,1,0,0,40.87,0
2024-10-01,TXN_000112,Premium,Latin America,Social Media,1,0,0,29.6,0
2024-10-01,TXN_000113,Startup,Latin America,Referral,1,0,0,12.33,0
2024-10-01,TXN_000114,Standard,North America,Organic Search,1,0,0,10.92,0
2024-10-01,TXN_000115,Startup,North America,Referral,1,0,0,21.21,0
2024-10-01,TXN_000116,Premium,Asia Pacific,Email,1,0,0,12.56,0
2024-10-01,TXN_000117,Startup,Latin America,Email,1,0,0,13.47,0
2024-10-01,TXN_000118,Standard,Asia Pacific,Social Media,1,0,0,34.19,0
2024-10-01,TXN_000119,Startup,Latin America,Social Media,1,0,0,29.27,0
2024-10-01,TXN_000120,Standard,Asia Pacific,Organic Search,1,1,272.53,16.2,0
2024-10-01,TXN_000121,Premium,North America,Organic Search,1,0,0,28.55,0
2024-10-01,TXN_000122,Small Business,Europe,Social Media,1,0,0,34.28,0
2024-10-01,TXN_000123,Small Business,Latin America,Social Media,1,0,0,17.07,0
2024-10-01,TXN_000124,Standard,Asia Pacific,Organic Search,1,0,0,18.66,0
2024-10-01,TXN_000125,Enterprise,Europe,Referral,1,0,0,8.3,0
2024-10-01,TXN_000126,Standard,Latin America,Email,1,0,0,6.97,0
2024-10-01,TXN_000127,Small Business,North America,Referral,1,0,0,21.74,0
2024-10-01,TXN_000128,Premium,Latin America,Email,1,0,0,15.66,0
2024-10-01,TXN_000129,Premium,Asia Pacific,Email,1,0,0,8.22,0
2024-10-01,TXN_000130,Small Business,Latin America,Email,1,0,0,7.91,0
2024-10-01,TXN_000131,Small Business,Asia Pacific,Email,1,0,0,13,0
2024-10-01,TXN_000132,Premium,Latin America,Email,1,0,0,18.08,0
2024-10-01,TXN_000133,Premium,North America,Referral,1,0,0,18.48,0
2024-10-01,TXN_000134,Startup,Asia Pacific,Direct,1,0,0,4.82,0
2024-10-01,TXN_000135,Startup,Asia Pacific,Direct,1,0,0,4.85,0
2024-10-01,TXN_000136,Standard,Latin America,Email,1,0,0,8.39,0
2024-10-01,TXN_000137,Small Business,Europe,Email,1,0,0,6.22,0
2024-10-01,TXN_000138,Premium,North America,Organic Search,1,0,0,26.81,0
2024-10-01,TXN_000139,Startup,North America,Direct,1,0,0,1.29,0
2024-10-01,TXN_000140,Small Business,Asia Pacific,Paid Search,1,0,0,77.57,0
2024-10-01,TXN_000141,Premium,North America,Organic Search,1,0,0,15.83,0
2024-10-01,TXN_000142,Startup,Latin America,Social Media,1,0,0,40.06,0
2024-10-01,TXN_000143,Startup,Europe,Organic Search,1,0,0,23.04,0
2024-10-01,TXN_000144,Startup,North America,Direct,1,0,0,8.47,0
2024-10-01,TXN_000145,Standard,Europe,Referral,1,0,0,13.88,0
2024-10-01,TXN_000146,Small Business,North America,Organic Search,1,0,0,18.3,0
2024-10-02,TXN_000147,Startup,North America,Email,1,0,0,17.56,0
2024-10-02,TXN_000148,Standard,Europe,Paid Search,1,0,0,61.8,0
2024-10-02,TXN_000149,Startup,North America,Paid Search,1,0,0,45.78,0
2024-10-02,TXN_000150,Enterprise,Latin America,Direct,1,1,1278.25,1.78,0
2024-10-02,TXN_000151,Small Business,Europe,Organic Search,1,0,0,21.25,0
2024-10-02,TXN_000152,Enterprise,North America,Referral,1,0,0,22.75,0
2024-10-02,TXN_000153,Standard,Asia Pacific,Social Media,1,0,0,29.37,0
2024-10-02,TXN_000154,Enterprise,Asia Pacific,Organic Search,1,1,1627.54,19.56,0
2024-10-02,TXN_000155,Small Business,Latin America,Email,1,0,0,19.99,0
2024-10-02,TXN_000156,Premium,Asia Pacific,Social Media,1,0,0,44.89,0
2024-10-02,TXN_000157,Small Business,Asia Pacific,Paid Search,1,0,0,44.91,0
2024-10-02,TXN_000158,Enterprise,Europe,Email,1,0,0,12.36,0
2024-10-02,TXN_000159,Small Business,Asia Pacific,Paid Search,1,1,100.93,33.73,0
2024-10-02,TXN_000160,Startup,Latin America,Social Media,1,0,0,43.22,0
